"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimA_rep6_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.961180655219639, -0.254320362091827, -0.48931139431673, -0.531895372714681, 0.437115191100681], [0.0241118018631055]]","SimA_rep6_n115000_d5_corr65_NA25_MICE.1.IMP_5000",1.12739372253418,0.0102486610412598,"2025-06-08 13:18:31.026821"
"SimA_rep7_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.96267806542351, -0.277876468553061, -0.431335100552125, -0.637385525113546, 0.476896107242807], [-0.0224396467871056]]","SimA_rep7_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.410935640335083,0.0385782718658447,"2025-06-08 13:18:32.235364"
"SimA_rep8_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.99511249962082, -0.263237929277489, -0.455182779565185, -0.616013637506567, 0.460674853246866], [-0.0170871000018258]]","SimA_rep8_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.695866346359253,0.00779485702514648,"2025-06-08 13:18:32.758822"
"SimA_rep9_n115000_d5_corr65_NA25","MICE.1.IMP",5000,"[[0.904414431437965, -0.209662935853313, -0.426461918010369, -0.536707777664835, 0.387123708300647], [-0.0111791657355489]]","SimA_rep9_n115000_d5_corr65_NA25_MICE.1.IMP_5000",0.339688777923584,0.0123240947723389,"2025-06-08 13:18:33.521352"
"SimA_rep0_n115000_d5_corr65_NA25","MICE.1.IMP",10000,"[[0.923653039885056, -0.247919713978634, -0.396011149829645, -0.600844367277557, 0.443177369540565], [-0.0109018221012486]]","SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_10000",0.748965263366699,0.00822019577026367,"2025-06-08 13:18:33.929401"
"SimA_rep1_n115000_d5_corr65_NA25","MICE.1.IMP",10000,"[[0.963597717470318, -0.318288315739819, -0.345675468843133, -0.620379076574033, 0.404619284348261], [0.00436589461304902]]","SimA_rep1_n115000_d5_corr65_NA25_MICE.1.IMP_10000",0.496469974517822,0.0088047981262207,"2025-06-08 13:18:34.748172"
"SimA_rep2_n115000_d5_corr65_NA25","MICE.1.IMP",10000,"[[0.970906360628667, -0.254742175063241, -0.398827343000139, -0.647508399163308, 0.452134594611773], [-0.00348297592552419]]","SimA_rep2_n115000_d5_corr65_NA25_MICE.1.IMP_10000",0.826611280441284,0.00864911079406738,"2025-06-08 13:18:35.302287"
"SimA_rep3_n115000_d5_corr65_NA25","MICE.1.IMP",10000,"[[0.952111908827473, -0.278653459471864, -0.393532907000892, -0.648114650155681, 0.508990141511082], [0.0240834771284044]]","SimA_rep3_n115000_d5_corr65_NA25_MICE.1.IMP_10000",0.737200260162354,0.00836491584777832,"2025-06-08 13:18:36.189789"
"SimA_rep4_n115000_d5_corr65_NA25","MICE.1.IMP",10000,"[[0.907907486160693, -0.248085110715652, -0.434064872281237, -0.577341004965389, 0.418127096208424], [-0.0125120517518321]]","SimA_rep4_n115000_d5_corr65_NA25_MICE.1.IMP_10000",0.520804405212402,0.00909852981567383,"2025-06-08 13:18:36.98703"
"SimA_rep5_n115000_d5_corr65_NA25","MICE.1.IMP",10000,"[[0.91301395440969, -0.280750781962787, -0.388628693857608, -0.5962917394297, 0.425151486930489], [0.0387049827228967]]","SimA_rep5_n115000_d5_corr65_NA25_MICE.1.IMP_10000",0.819928407669067,0.00974130630493164,"2025-06-08 13:18:37.572947"
"SimA_rep6_n115000_d5_corr65_NA25","MICE.1.IMP",10000,"[[0.962655196771586, -0.259815595532539, -0.464344292121647, -0.601067999610541, 0.47060336969671], [0.00715754433861302]]","SimA_rep6_n115000_d5_corr65_NA25_MICE.1.IMP_10000",0.824536085128784,0.00907325744628906,"2025-06-08 13:18:38.462627"
