set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,pred_beta,pred_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimA_rep5_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.947564931329505, -0.237806663882563, -0.381855957487253, -0.684773643358782, 0.465312036309631], [-0.0303748706108129]]",SimA_rep5_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.559105157852173,0.0102040767669678,2025-06-08 13:19:03.124962,SimA,5.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.947564931329505, -0.237806663882563, -0.381855957487253, -0.684773643358782, 0.465312036309631]",-0.0303748706108129,0.1177297614756224,0.18601005927425446,0.11989335174077954,0.15516215485598264
SimA_rep6_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.992625746043695, -0.278947617035772, -0.420006470416245, -0.585575621141936, 0.417905336815664], [0.040150437041577]]",SimA_rep6_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,1.29361057281494,0.0161755084991455,2025-06-08 13:18:57.442246,SimA,6.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.992625746043695, -0.278947617035772, -0.420006470416245, -0.585575621141936, 0.417905336815664]",0.040150437041577,0.13013052169657296,0.19186826575598745,0.1335877276662772,0.1601588977290945
SimA_rep7_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.936035440546956, -0.240267993273554, -0.481719110777744, -0.655436105505096, 0.521122366552524], [-0.00441988876800455]]",SimA_rep7_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.598269462585449,0.0366270542144775,2025-06-08 13:18:58.826575,SimA,7.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.936035440546956, -0.240267993273554, -0.481719110777744, -0.655436105505096, 0.521122366552524]",-0.0044198887680045,0.15512888671126807,0.18135955599152515,0.15516233523420112,0.15113621922905787
SimA_rep8_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.940963808791457, -0.22250182156314, -0.448171607443038, -0.574238365253425, 0.445504290598707], [-0.0060660862097574]]",SimA_rep8_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.519992351531982,0.0098476409912109,2025-06-08 13:18:59.529008,SimA,8.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.940963808791457, -0.22250182156314, -0.448171607443038, -0.574238365253425, 0.445504290598707]",-0.0060660862097574,0.15735205194390534,0.2099960366800838,0.15742172314651018,0.17500283013372053
SimA_rep9_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.901458857242904, -0.24306829518208, -0.340609470705908, -0.641067462433343, 0.446477898781579], [-0.0289330944702862]]",SimA_rep9_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.79460334777832,0.0096311569213867,2025-06-08 13:19:00.466592,SimA,9.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.901458857242904, -0.24306829518208, -0.340609470705908, -0.641067462433343, 0.446477898781579]",-0.0289330944702862,0.09618370548178466,0.21114323201930568,0.09886026610896607,0.17609221400869246
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.961793827616102, -0.278927878422037, -0.417351477330965, -0.597258830967002, 0.454222070820879], [0.0131311807832854]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,0.940987586975098,0.0156216621398926,2025-06-08 13:19:01.323354,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.961793827616102, -0.278927878422037, -0.417351477330965, -0.597258830967002, 0.454222070820879]",0.0131311807832854,0.11077093694902551,0.19148077295805993,0.11121547128530353,0.15959604878317715
SimA_rep1_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.968734621151939, -0.323282529972441, -0.343676960428388, -0.605384048784048, 0.397727857662343], [-0.00343508422354019]]",SimA_rep1_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,0.744295358657837,0.0111877918243408,2025-06-08 13:19:02.34157,SimA,1.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.968734621151939, -0.323282529972441, -0.343676960428388, -0.605384048784048, 0.397727857662343]",-0.0034350842235401,0.08939922323196824,0.19688812968462735,0.089438258935307,0.16407540803779325
SimA_rep2_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.966885077818553, -0.249707177503774, -0.421119917260034, -0.637236062170441, 0.434289649260961], [0.00152631587538511]]",SimA_rep2_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,1.27859330177307,0.0109648704528809,2025-06-08 13:19:03.149523,SimA,2.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.966885077818553, -0.249707177503774, -0.421119917260034, -0.637236062170441, 0.434289649260961]",0.0015263158753851,0.1297706237934934,0.19010386791187922,0.12977566854093114,0.15842027819992457
SimA_rep3_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.90893192236067, -0.263066292606259, -0.391983027784222, -0.628374007935267, 0.521271598831023], [0.0259503603806991]]",SimA_rep3_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,0.752526521682739,0.0168299674987793,2025-06-08 13:19:04.495724,SimA,3.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.90893192236067, -0.263066292606259, -0.391983027784222, -0.628374007935267, 0.521271598831023]",0.0259503603806991,0.0995102725055437,0.19360850596149523,0.10145652211129008,0.16145265850189405
SimA_rep4_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.910222892264545, -0.231409948271452, -0.440307608938942, -0.598977278559767, 0.4242199580508], [-0.017414630588575]]",SimA_rep4_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,0.987756967544556,0.0112755298614502,2025-06-08 13:19:05.316995,SimA,4.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.910222892264545, -0.231409948271452, -0.440307608938942, -0.598977278559767, 0.4242199580508]",-0.017414630588575,0.15094726992828336,0.21633375815973316,0.15156334744432878,0.18032867669286703
SimA_rep5_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.921940991415294, -0.296130410898047, -0.355410451877978, -0.634260173713099, 0.405129269213104], [0.0209678933058125]]",SimA_rep5_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,1.07721376419067,0.0172808170318604,2025-06-08 13:19:06.374767,SimA,5.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.921940991415294, -0.296130410898047, -0.355410451877978, -0.634260173713099, 0.405129269213104]",0.0209678933058125,0.09038168042169298,0.20543188093938608,0.09185708650163715,0.17126650954110237
SimA_rep6_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.944416951808633, -0.228748237162594, -0.500293593384052, -0.564883265217666, 0.461923500772773], [0.0130166508586199]]",SimA_rep6_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,1.09934949874878,0.0116138458251953,2025-06-08 13:19:07.52315,SimA,6.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.944416951808633, -0.228748237162594, -0.500293593384052, -0.564883265217666, 0.461923500772773]",0.0130166508586199,0.183572369875833,0.20614505252494827,0.18383637283779078,0.1718157826373861
SimA_rep7_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.915842793886394, -0.257050662504477, -0.366228554009125, -0.656863059601529, 0.446198620676992], [0.00499460903567288]]",SimA_rep7_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,0.709658622741699,0.0117721557617188,2025-06-08 13:19:08.692893,SimA,7.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.915842793886394, -0.257050662504477, -0.366228554009125, -0.656863059601529, 0.446198620676992]",0.0049946090356728,0.10060008218448235,0.20057953662315292,0.10067406796034761,0.1671537715391973
SimA_rep8_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.957820276131777, -0.241205646523635, -0.417848176807545, -0.668774819458522, 0.47529920945999], [-0.0301369533610906]]",SimA_rep8_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,1.51624083518982,0.0126023292541504,2025-06-08 13:19:00.038702,SimA,8.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.957820276131777, -0.241205646523635, -0.417848176807545, -0.668774819458522, 0.47529920945999]",-0.0301369533610906,0.12450982864635332,0.18185841094255903,0.12648346011239947,0.15170004844511395
SimA_rep9_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.948344014030651, -0.250173361342092, -0.421123171091587, -0.592145812152163, 0.455445185969336], [0.0176723216988509]]",SimA_rep9_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,1.04740715026855,0.0374009609222412,2025-06-08 13:19:01.647679,SimA,9.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.948344014030651, -0.250173361342092, -0.421123171091587, -0.592145812152163, 0.455445185969336]",0.0176723216988509,0.12504056070783826,0.19968785942754047,0.12577025896934912,0.166458601348655
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,50000,"[[0.955560226735172, -0.254956296479918, -0.421504136759225, -0.626113122132106, 0.44364575601669], [0.0145174462573466]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_50000,2.76400518417358,0.027935266494751,2025-06-08 13:19:02.805943,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.955560226735172, -0.254956296479918, -0.421504136759225, -0.626113122132106, 0.44364575601669]",0.0145174462573466,0.12405089928416126,0.1927041539038315,0.12453433391208908,0.16062192096083208
SimA_rep1_n115000_d5_corr65_NA25,MICE.1.M.IMP,50000,"[[0.958143587832967, -0.273029965107108, -0.396845385924953, -0.616973797587614, 0.430853740171533], [0.00990030689742688]]",SimA_rep1_n115000_d5_corr65_NA25_MICE.1.M.IMP_50000,2.5593478679657,0.0230147838592529,2025-06-08 13:19:05.658869,SimA,1.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.958143587832967, -0.273029965107108, -0.396845385924953, -0.616973797587614, 0.430853740171533]",0.0099003068974268,0.1077634737630771,0.19451507616827984,0.10802707876334836,0.1621122328196771
SimA_rep2_n115000_d5_corr65_NA25,MICE.1.M.IMP,50000,"[[0.961209752698595, -0.285440468096086, -0.409680006836606, -0.621393929363546, 0.455197527960702], [0.0180384412568782]]",SimA_rep2_n115000_d5_corr65_NA25_MICE.1.M.IMP_50000,2.84391951560974,0.0217030048370361,2025-06-08 13:19:08.298824,SimA,2.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.961209752698595, -0.285440468096086, -0.409680006836606, -0.621393929363546, 0.455197527960702]",0.0180384412568782,0.10123163555013168,0.1864926499696084,0.10213413728699212,0.15546477253516996
SimA_rep3_n115000_d5_corr65_NA25,MICE.1.M.IMP,50000,"[[0.945266633478093, -0.249925812714498, -0.436055912958109, -0.606475783208995, 0.458347721724102], [0.0105913719229062]]",SimA_rep3_n115000_d5_corr65_NA25_MICE.1.M.IMP_50000,2.71610116958618,0.023134708404541,2025-06-08 13:19:11.229232,SimA,3.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.945266633478093, -0.249925812714498, -0.436055912958109, -0.606475783208995, 0.458347721724102]",0.0105913719229062,0.1313976329723265,0.1967735922166856,0.13164356037346206,0.1639966897071062
