"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[0.231184899004941, 3.05892711055664, -1.0383461472021, -1.38078228743725, 1.07746411245599], [-0.289566007883083]]","SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.151353359222412,0.00332808494567871,"2025-11-28 01:02:27.6724"
"SimNLMNAR_rep4_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[-2.42130435043997, 2.7110662602371, -0.100892987695701, -0.645637782412766, 0.649654625992953], [0.0263232683505633]]","SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.148297786712646,0.00333857536315918,"2025-11-28 01:02:27.855685"
"SimNLMNAR_rep5_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[7.4108161535841, 1.59631128961784, -3.90733146561302, -3.5849651346302, 1.52574032288929], [0.548325910620453]]","SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.156438589096069,0.00331211090087891,"2025-11-28 01:02:28.035643"
"SimNLMNAR_rep6_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[27.1827077572705, -20.7702640287806, -10.1704195759364, -3.27308822068458, 7.95551038631691], [-4.69159529855368]]","SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.150137901306152,0.00532174110412598,"2025-11-28 01:02:28.224488"
"SimNLMNAR_rep7_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[3.4827462590277, -3.2355296042829, 2.39044762454781, -2.40163488728688, 0.863190704727712], [2.26519733703037]]","SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.161394834518433,0.00341343879699707,"2025-11-28 01:02:28.408624"
"SimNLMNAR_rep8_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[1.44725767067509, 0.260521813800014, -1.68257767346098, -0.653571427043095, 0.932033684029573], [0.388805927880495]]","SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.161736011505127,0.00334286689758301,"2025-11-28 01:02:28.603295"
"SimNLMNAR_rep9_n115000_d5_corr95_NA25","MICE.1.Y.IMP",100,"[[1.12411111056358, 1.07991703817612, -0.862204829869505, -1.64985239073624, 0.729697450728462], [0.340240096605895]]","SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.Y.IMP_100",0.545617580413818,0.0033562183380127,"2025-11-28 01:02:28.798092"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.Y.IMP",500,"[[0.0943505644578417, 2.04466860970641, -1.92734704781504, -0.652735098468802, 0.76221728584023], [-0.139159642374371]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.Y.IMP_500",0.159482002258301,0.00351047515869141,"2025-11-28 01:02:29.376731"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.Y.IMP",500,"[[0.184986235126505, 1.00221220273454, -1.20857241355761, -0.62442641262927, 0.64323901487368], [-0.00796591729391499]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.Y.IMP_500",0.605508089065552,0.00413084030151367,"2025-11-28 01:02:16.772991"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.Y.IMP",500,"[[1.34884029595724, -0.750880925202777, -1.23680926560096, -0.690398895030774, 0.943234863321663], [0.0829899961328461]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.Y.IMP_500",0.557676553726196,0.0136804580688477,"2025-11-28 01:02:17.429124"
